TYPE,APT,RWY,PRO,RTE
###本文件系2511导航数据，若需更新导航数据版本请自行更新，格式不变
SID,ZBAA,36R,IDKE5Y,DE36R AA131 AA153 AA154 IDKEX
SID,ZBAA,36R,IGMO5Y,AA131 AA152 AA158 AA155 LULTA AA156 AA157 IGMOR
SID,ZBAA,36R,IGMO7X,AA131 AA152 AA158 AA173 AA176 AA157 IGMOR
SID,ZBAA,36R,IGMO9Z,AA131 AA132 AA133 AA138 AA118 DXG AA139 AA157 IGMOR
SID,ZBAA,36R,LULT5Y,DE36R AA131 AA152 AA158 AA155 LULTA
SID,ZBAA,36R,MUGL5Y,AA131 AA152 AA158 AA155 LULTA AA156 AA157 MUGLO
SID,ZBAA,36R,MUGL7X,AA131 AA152 AA158 AA173 AA176 AA157 MUGLO
SID,ZBAA,36R,MUGL9Z,AA131 AA132 AA133 AA138 AA118 DXG AA139 AA157 MUGLO
SID,ZBAA,36R,OMDE9Z,AA131 AA132 AA133 AA134 AA136 AA137 AA197 OMDEK
SID,ZBAA,36R,PEGS9Z,AA131 AA132 AA133 AA134 AA136 AA137 AA197 PEGSO
SID,ZBAA,36R,RUSD9Z,AA131 AA132 AA133 AA134 AA136 AA137 RUSDO
STAR,ZBAA,01,AVBO7XxILSY,AVBOX AA124 AA122 AA420 CI01Y FI01Y
STAR,ZBAA,01,AVBO8Y,AVBOX AA146 AA145 AA144 AA143 AA142 AA141 AA420 CI01Z FI01Z
STAR,ZBAA,01,DUGE5DxILSY,DUGEB AA126 AA125 AA122 AA420 CI01Y FI01Y
STAR,ZBAA,01,DUMA9Z,DUMAP AA147 AA146 AA145 AA144 AA143 AA142 AA141 AA420 CI01Z FI01Z
STAR,ZBAA,01,GUVB7X,GUVBA AA168 AA167 AA166 AA165 AA142 AA141 AA420 CI01Z FI01Z
STAR,ZBAA,01,GUVB9YxILSY,GUVBA AA128 AA127 AA123 AA420 CI01Y FI01Y
STAR,ZBAA,01,OSUB7X,OSUBA AA169 AA166 AA165 AA142 AA141 AA420 CI01Z FI01Z
STAR,ZBAA,18L,AVBO6J,AVBOX AA146 AA145 AA144 AA265 AA264 AA263 AA262 AA261 AA591 CI1LZ FI1LZ
STAR,ZBAA,18L,DUGE4AxILSY,DUGEB AA126 AA248 AA247 AA311 AA312 AA313 AA314 AA315 AA316 AA317 AA241 AA583 CI1LY FI1LY
STAR,ZBAA,18L,DUGE6JxILSY,DUGEB AA126 AA248 AA247 AA246 AA245 AA244 AA243 AA242 AA241 AA583 CI1LY FI1LY
STAR,ZBAA,18L,DUMA2G,DUMAP AA147 AA146 AA145 AA144 AA265 AA264 AA263 AA262 AA261 AA591 CI1LZ FI1LZ
STAR,ZBAA,18L,GUVB4ExILSY,GUVBA AA243 AA242 AA241 AA583 CI1LY FI1LY
STAR,ZBAA,18L,GUVB6JxILSY,GUVBA AA321 AA322 AA323 AA324 AA325 AA317 AA241 AA583 CI1LY FI1LY
STAR,ZBAA,18L,OSUB6J,OSUBA AA169 AA284 AA283 AA262 AA261 AA591 CI1LZ FI1LZ
STAR,ZBAA,18R,AVBO6JxILSY,AVBOX AA146 AA145 AA144 AA265 AA264 AA263 AA262 AA261 AA585 CI1RY FI1RY
STAR,ZBAA,18R,DUGE4A,DUGEB AA126 AA248 AA247 AA311 AA312 AA313 AA314 AA315 AA316 AA317 AA241 AA580 CI1RZ FI1RZ
STAR,ZBAA,18R,DUGE6J,DUGEB AA126 AA248 AA247 AA246 AA245 AA244 AA243 AA242 AA241 AA580 CI1RZ FI1RZ
STAR,ZBAA,18R,DUMA2GxILSY,DUMAP AA147 AA146 AA145 AA144 AA265 AA264 AA263 AA262 AA261 AA585 CI1RY FI1RY
